,Roof_T,Roof_C1,geometry
10,Gable,Good,"POLYGON ((-10834598.9092 3846428.726099998, -10834596.0164 3846427.456100002, -10834597.4275 3846425.127700001, -10834600.0381 3846425.974399999, -10834598.9092 3846428.726099998))"
11,Gable,Good,"POLYGON ((-10834479.4419 3846492.691299997, -10834476.2399 3846491.521300003, -10834477.0777 3846489.228299998, -10834480.2798 3846490.398199998, -10834479.4419 3846492.691299997))"
12,Gable,Good,"POLYGON ((-10834508.0523 3846492.982299998, -10834505.4059 3846492.0242, -10834506.3319 3846489.466499999, -10834508.9783 3846490.424699999, -10834508.0523 3846492.982299998))"
13,Gable,Good,"POLYGON ((-10834620.5213 3846569.598500006, -10834616.32535807 3846568.376382187, -10834610.10225261 3846566.477517858, -10834609.12503553 3846569.958853714, -10834608.83225007 3846571.001901917, -10834601.6124 3846568.293200001, -10834606.7629 3846550.901200004, -10834609.3735 3846551.571500003, -10834613.74393965 3846541.389323518, -10834628.0002 3846546.006399997, -10834625.4955 3846552.206500009, -10834620.6271 3846550.86590001, -10834619.0749 3846555.487300009, -10834624.4018 3846557.956800006, -10834622.0735 3846563.742300004, -10834620.5213 3846569.598500006))"
14,Gable,Good,"POLYGON ((-10834564.19631925 3846961.278819136, -10834561.27531341 3846961.231194034, -10834561.3529 3846965.286100008, -10834556.4316 3846965.180299997, -10834551.5633 3846965.180299997, -10834551.49073439 3846952.041742019, -10834554.05172338 3846951.828205444, -10834553.84005629 3846947.727155574, -10834564.1575 3846947.188600004, -10834564.6867 3846945.548100002, -10834577.3463128 3846945.649440452, -10834577.34292146 3846947.87846373, -10834577.3338 3846953.8737, -10834564.9512 3846953.838400006, -10834565.05357097 3846957.437061444, -10834564.88472217 3846957.431031138, -10834564.16456919 3846957.405311391, -10834564.16602959 3846957.583480194, -10834564.19631925 3846961.278819136))"
15,Gable,Good,"POLYGON ((-10834402.1885 3846372.603799999, -10834406.5541 3846374.720399998, -10834399.7632 3846395.843000002, -10834393.20814863 3846393.374318406, -10834392.4871 3846394.696500003, -10834388.2097 3846393.020800009, -10834385.2992 3846392.09480001, -10834392.5753 3846370.046100006, -10834396.3236 3846371.0163, -10834397.8229 3846366.959300004, -10834403.6878 3846369.164200008, -10834402.1885 3846372.603799999))"
16,Hip,Good,"POLYGON ((-10834424.5434 3846158.483800001, -10834428.2351 3846159.7412, -10834427.3969 3846162.202399999, -10834423.7051 3846160.945, -10834424.5434 3846158.483800001))"
17,Gable,Good,"POLYGON ((-10834687.8183 3846152.377499998, -10834692.1559 3846153.751599997, -10834690.7818 3846158.089199997, -10834686.4442 3846156.715000004, -10834687.8183 3846152.377499998))"
18,Mix,Good,"POLYGON ((-10834658.3234805 3846174.86199329, -10834650.38596457 3846172.123550288, -10834651.4972168 3846168.591355711, -10834650.9050462 3846168.413129605, -10834647.4093961 3846167.361040734, -10834647.90020104 3846165.806825086, -10834648.12377253 3846165.098848701, -10834645.78220533 3846164.543222576, -10834650.94159068 3846149.819130525, -10834665.30849452 3846154.859453142, -10834658.3234805 3846174.86199329))"
19,Gable,Good,"POLYGON ((-10834898.74539502 3846171.306246527, -10834897.4156 3846164.323900007, -10834918.2357 3846160.645400003, -10834921.26148176 3846175.724797033, -10834898.7983118 3846179.614179827, -10834897.7725119 3846171.627348013, -10834898.74539502 3846171.306246527))"
20,Gable,Good,"POLYGON ((-10834679.12241808 3846161.163163707, -10834678.01910357 3846164.206735425, -10834680.4453374 3846165.264213607, -10834675.02136818 3846181.040026523, -10834660.40310967 3846175.97986012, -10834666.6416 3846160.214400001, -10834672.43598934 3846162.247636601, -10834673.53308394 3846159.112638764, -10834679.12241808 3846161.163163707))"
21,Gable,Good,"POLYGON ((-10834681.9355 3846169.393200003, -10834685.0367 3846170.365199998, -10834685.8143 3846167.884199999, -10834696.9788 3846171.383400001, -10834696.084 3846174.193800002, -10834696.4662 3846174.363499999, -10834692.6165 3846185.085299999, -10834678.2496 3846180.322800003, -10834681.9355 3846169.393200003))"
22,Gable,Good,"POLYGON ((-10834524.3398 3846164.644500002, -10834525.2953 3846163.519400001, -10834533.1005 3846166.319499999, -10834533.1094 3846167.441299997, -10834536.452 3846168.507299997, -10834536.7606 3846167.796800002, -10834539.4593 3846168.837499999, -10834539.5475 3846169.494499996, -10834535.2162 3846183.076200001, -10834530.6928 3846181.625699997, -10834527.1738 3846183.451300003, -10834525.454 3846179.720700003, -10834520.1203 3846177.875100002, -10834524.3398 3846164.644500002))"
23,Hip,Good,"POLYGON ((-10834556.11435101 3846176.220521033, -10834552.45158131 3846187.259334885, -10834547.12683105 3846185.076518007, -10834545.90313067 3846188.747619122, -10834540.24765058 3846186.597875223, -10834541.40520498 3846183.158284992, -10834538.32941756 3846181.934584618, -10834543.28567298 3846169.873899996, -10834550.5107615 3846172.249617897, -10834550.18963999 3846173.289439954, -10834549.97110758 3846173.997068696, -10834556.11435101 3846176.220521033))"
24,Gable,Good,"POLYGON ((-10834559.4945 3846175.570200011, -10834573.6755 3846180.303300008, -10834568.30218324 3846196.200770184, -10834554.13371732 3846191.398573048, -10834559.4945 3846175.570200011))"
25,Gable,Good,"POLYGON ((-10834759.6194 3846179.151299998, -10834756.6384 3846178.357500002, -10834757.5805 3846174.920900002, -10834760.6248 3846175.799900003, -10834759.6194 3846179.151299998))"
26,Gable,Good,"POLYGON ((-10834709.5057 3846192.939099997, -10834701.674 3846190.187399998, -10834703.0763 3846184.8957, -10834697.0703 3846182.699699998, -10834704.177 3846163.3191, -10834712.7261 3846166.437299997, -10834711.8352 3846168.879900001, -10834717.331 3846170.884499997, -10834709.5057 3846192.939099997))"
27,Gable,Good,"POLYGON ((-10834793.4552 3846184.401699997, -10834787.9717 3846182.363399997, -10834789.3306 3846178.707800001, -10834794.814 3846180.746100001, -10834793.4552 3846184.401699997))"
28,Mix,Good,"POLYGON ((-10834865.20582506 3846188.916308939, -10834852.71787585 3846190.677493781, -10834850.40276704 3846175.39777562, -10834864.50508701 3846172.950374864, -10834865.96029826 3846181.840392716, -10834865.12442025 3846181.906732239, -10834864.29341992 3846181.972684644, -10834865.20582506 3846188.916308939))"
29,Gable,Good,"POLYGON ((-10834769.3875 3846184.545000002, -10834765.512 3846187.015799999, -10834762.0528 3846181.590099998, -10834765.9283 3846179.119199999, -10834769.3875 3846184.545000002))"
30,Gable,Good,"POLYGON ((-10834719.3259 3846195.079999998, -10834720.4924 3846191.358499996, -10834714.9101 3846189.608800001, -10834719.7702 3846174.102600001, -10834733.4156 3846178.379500002, -10834727.3892 3846197.607199997, -10834719.3259 3846195.079999998))"
31,Gable,Good,"POLYGON ((-10834902.63708794 3846195.477443829, -10834902.25223364 3846190.138002977, -10834901.28744318 3846190.275830187, -10834900.02972919 3846190.455503605, -10834899.5727 3846182.569400005, -10834913.1983 3846180.71230001, -10834913.28095452 3846181.357773565, -10834917.80976479 3846180.877567768, -10834919.23851765 3846193.365926102, -10834914.88830653 3846193.910059236, -10834915.1112 3846195.650700003, -10834902.87069842 3846197.275152676, -10834902.80230946 3846196.748877317, -10834902.63708794 3846195.477443829))"
32,Gable,Good,"POLYGON ((-10834834.3841 3846193.060699999, -10834833.7534 3846186.657099999, -10834839.2422 3846186.116499998, -10834839.8729 3846192.520099998, -10834834.3841 3846193.060699999))"
33,Gable,Good,"POLYGON ((-10834743.8399 3846204.571999997, -10834735.4879 3846201.538000003, -10834735.7074 3846200.955600001, -10834735.6289 3846200.920699999, -10834736.7017 3846198.318099998, -10834732.9743 3846196.907799996, -10834733.2301 3846196.440399997, -10834733.2654 3846194.711800002, -10834731.2192 3846194.253200002, -10834736.3345 3846179.586400002, -10834737.4485 3846179.887400001, -10834739.1233 3846176.0251, -10834752.1742 3846180.847599998, -10834743.8399 3846204.571999997))"
34,Gable,Good,"POLYGON ((-10834805.6013 3846194.064000003, -10834806.9819 3846191.121799998, -10834811.6894 3846193.330700003, -10834810.3089 3846196.2729, -10834805.6013 3846194.064000003))"
35,Gable,Good,"POLYGON ((-10834801.0463 3846193.923600003, -10834803.7486 3846195.729199998, -10834801.943 3846198.431500003, -10834799.2407 3846196.625799999, -10834801.0463 3846193.923600003))"
36,Gable,Good,"POLYGON ((-10834754.042 3846185.870300002, -10834766.4106 3846189.872400001, -10834760.8077 3846207.188500002, -10834748.4391 3846203.186399996, -10834754.042 3846185.870300002))"
37,Hip,Good,"POLYGON ((-10834867.56985011 3846193.012446381, -10834868.3636017 3846201.571734399, -10834867.80318866 3846201.614843093, -10834866.98776561 3846201.677567944, -10834867.42494537 3846208.615877144, -10834853.94378109 3846209.747375794, -10834853.7022041 3846205.240975454, -10834850.57033683 3846203.529654987, -10834853.38815498 3846200.248815067, -10834852.4793 3846194.696599998, -10834867.56985011 3846193.012446381))"
38,Gable,Good,"POLYGON ((-10834612.4033 3846212.896000005, -10834610.6747 3846209.509300008, -10834605.83486145 3846207.851722412, -10834608.18048374 3846200.376565017, -10834608.91185804 3846200.423799552, -10834610.8063242 3846193.64024841, -10834618.43972307 3846196.149837792, -10834618.37978097 3846196.889123671, -10834618.32066032 3846197.618278235, -10834624.56787003 3846200.347809575, -10834620.5525 3846212.825400002, -10834615.93609825 3846211.247654535, -10834612.4033 3846212.896000005))"
39,Gable,Good,"POLYGON ((-10834771.7073 3846191.777199998, -10834772.6688 3846192.1501, -10834778.9834 3846194.5995, -10834777.6574 3846198.287299998, -10834783.2167 3846200.861299999, -10834777.7046 3846216.119000003, -10834762.932 3846211.444600001, -10834768.8587 3846195.128600001, -10834770.0047 3846195.593000002, -10834771.7073 3846191.777199998))"
40,Gable,Good,"POLYGON ((-10834916.96595261 3846214.268114865, -10834917.00102011 3846214.925101206, -10834910.53621032 3846215.235662542, -10834904.67934961 3846215.472789809, -10834904.28247382 3846208.66240117, -10834902.48330354 3846208.66240117, -10834902.03351098 3846200.77780205, -10834916.19939861 3846199.906794481, -10834916.2440763 3846200.743826993, -10834920.40268664 3846200.377398476, -10834920.45560342 3846208.209080815, -10834916.66332019 3846208.598323673, -10834916.96595261 3846214.268114865))"
41,Gable,Good,"POLYGON ((-10834582.2926 3846186.329300009, -10834583.3498 3846183.255999997, -10834591.3402 3846186.004900016, -10834584.20367348 3846207.101625383, -10834569.91614481 3846201.94224003, -10834576.34553272 3846184.003454052, -10834582.2926 3846186.329300009))"
42,Gable,Good,"POLYGON ((-10834606.6575 3846198.099600002, -10834599.5155 3846217.357799999, -10834591.8866 3846215.020599999, -10834593.2448 3846210.258100003, -10834587.3164 3846207.776299998, -10834593.6487 3846187.5339, -10834602.3183 3846190.3737, -10834601.0483 3846194.0515, -10834604.4879 3846195.321500003, -10834604.2497 3846197.0942, -10834606.6575 3846198.099600002))"
43,Gable,Good,"POLYGON ((-10834488.98058013 3846205.432299711, -10834484.0734314 3846218.735576369, -10834475.95930576 3846216.040789723, -10834476.13700232 3846215.441063821, -10834476.48847347 3846214.254848637, -10834470.44273219 3846212.078646369, -10834474.29617569 3846200.267622687, -10834488.98058013 3846205.432299711))"
44,Flat,Good,"POLYGON ((-10834505.2348 3846212.470399998, -10834501.608 3846222.908200003, -10834487.4862 3846218.001500003, -10834491.1129 3846207.563600004, -10834505.2348 3846212.470399998))"
45,Gable,Good,"POLYGON ((-10834524.2657047 3846214.758660413, -10834518.52423486 3846231.162859976, -10834503.9958 3846225.698600002, -10834509.3292 3846210.348800011, -10834524.2657047 3846214.758660413))"
46,Gable,Good,"POLYGON ((-10834633.1885 3846217.26950001, -10834629.9929 3846218.867400005, -10834627.95702514 3846215.426977158, -10834623.10278536 3846213.635612831, -10834627.6645 3846199.429300003, -10834635.73579075 3846202.05226282, -10834635.40298072 3846203.072039507, -10834642.1284 3846206.237900004, -10834637.6129 3846218.902600005, -10834633.1885 3846217.26950001))"
47,Gable,Good,"POLYGON ((-10834791.4329 3846197.091399997, -10834805.0608 3846204.894900002, -10834794.4774 3846222.330899999, -10834786.778 3846218.018200003, -10834787.3482 3846215.454999998, -10834782.21 3846212.414300002, -10834791.4329 3846197.091399997))"
48,Gable,Good,"POLYGON ((-10834639.6996 3846220.717299998, -10834645.033 3846205.3675, -10834659.1549 3846210.2742, -10834653.8215 3846225.623999998, -10834639.6996 3846220.717299998))"
49,Gable,Good,"POLYGON ((-10834924.4795 3846218.657899998, -10834929.0753 3846218.601499997, -10834929.1543 3846225.035599999, -10834924.5584 3846225.092100002, -10834924.4795 3846218.657899998))"
50,Gable,Good,"POLYGON ((-10834692.76415214 3846223.800777659, -10834689.08912695 3846235.310454555, -10834674.64284797 3846230.389194682, -10834679.19038314 3846216.951641686, -10834687.260191 3846219.729772247, -10834686.96907495 3846220.748678431, -10834686.73102327 3846221.581859298, -10834692.76415214 3846223.800777659))"
51,Gable,Good,"POLYGON ((-10834406.64324489 3846164.813106664, -10834405.27151521 3846168.603173837, -10834405.80377043 3846168.780592255, -10834406.16448576 3846168.900830694, -10834403.49138238 3846176.607198454, -10834401.2125 3846184.320400007, -10834398.7297013 3846183.230406247, -10834398.47452894 3846184.080980763, -10834398.25345034 3846184.817909427, -10834395.74016719 3846183.841877133, -10834394.16562965 3846183.230406247, -10834394.00817358 3846183.690424621, -10834392.8869 3846186.966300003, -10834384.6848 3846184.267499998, -10834392.06980896 3846164.322927654, -10834392.71039626 3846164.627801277, -10834394.11947646 3846160.477747254, -10834406.64324489 3846164.813106664))"
52,Gable,Good,"POLYGON ((-10834367.7065 3846176.966600001, -10834371.2742 3846165.823799998, -10834386.1312 3846170.580700003, -10834382.5635 3846181.723499998, -10834367.7065 3846176.966600001))"
53,Gable,Good,"POLYGON ((-10834450.881 3846180.969700001, -10834452.6928 3846176.0955, -10834458.7855 3846178.360200003, -10834456.9737 3846183.234399997, -10834450.881 3846180.969700001))"
54,Gable,Good,"POLYGON ((-10834420.75630795 3846181.841340967, -10834415.99379841 3846195.255742848, -10834407.77846944 3846192.437924705, -10834408.04850505 3846191.461642087, -10834408.29440797 3846190.572608456, -10834401.86502009 3846188.508854322, -10834406.07190352 3846176.642268047, -10834420.75630795 3846181.841340967))"
55,Gable,Good,"POLYGON ((-10834440.5818 3846178.762800008, -10834432.91724379 3846201.149348415, -10834424.68207103 3846198.305071883, -10834425.02624066 3846196.985754982, -10834425.27738473 3846196.023036048, -10834419.27005009 3846193.948569864, -10834425.4108 3846176.786400005, -10834430.3068 3846178.538200006, -10834431.4017 3846175.478200004, -10834440.5818 3846178.762800008))"
56,Gable,Good,"POLYGON ((-10834450.359935 3846207.162016712, -10834436.07240637 3846202.320132025, -10834435.21579403 3846201.904492728, -10834436.2035066 3846199.61264009, -10834437.31251003 3846196.323560022, -10834440.43142552 3846187.073486872, -10834443.74475341 3846188.6323779, -10834444.39321515 3846188.917440973, -10834444.96306549 3846188.611257397, -10834445.84684175 3846188.136399768, -10834448.07128459 3846186.941194929, -10834449.49539055 3846189.740299776, -10834449.9895176 3846190.711514995, -10834455.3969 3846192.334600009, -10834450.359935 3846207.162016712))"
57,Gable,Good,"POLYGON ((-10834455.05718052 3846202.817108691, -10834460.29594102 3846186.677492999, -10834475.0576 3846191.659699999, -10834467.57199728 3846212.924212292, -10834459.47573104 3846210.198998503, -10834460.87802552 3846204.669195749, -10834455.05718052 3846202.817108691))"
58,Gable,Good,"POLYGON ((-10834406.789369 3846226.233248413, -10834402.27400052 3846238.545697846, -10834388.14522217 3846233.62443798, -10834391.63772918 3846222.882333092, -10834398.56982642 3846225.792755604, -10834398.93996104 3846224.497284412, -10834399.31066124 3846223.199833728, -10834406.789369 3846226.233248413))"
59,Gable,Good,"POLYGON ((-10834428.56821256 3846252.601054169, -10834426.81534447 3846249.22760991, -10834421.92054298 3846247.640106723, -10834426.77764127 3846233.264603935, -10834441.25037863 3846237.736071229, -10834434.52134951 3846259.579453588, -10834427.07992833 3846257.098979868, -10834428.56821256 3846252.601054169))"
60,Gable,Good,"POLYGON ((-10834451.71048121 3846241.949348785, -10834451.45439241 3846242.546889298, -10834450.99610477 3846243.616227128, -10834457.90174363 3846245.918106742, -10834453.61548503 3846257.625942722, -10834452.66627121 3846257.309538119, -10834452.18673217 3846257.149691775, -10834450.68395462 3846262.225285321, -10834438.37545446 3846258.260943994, -10834439.88473673 3846252.874877855, -10834439.20889363 3846252.585620113, -10834443.77296529 3846238.999238692, -10834451.71048121 3846241.949348785))"
61,Mix,Good,"POLYGON ((-10834467.5727 3846253.795100003, -10834473.7192 3846255.909599997, -10834468.4329 3846271.275700003, -10834454.42744891 3846266.177513711, -10834461.48742834 3846245.634781517, -10834469.35879831 3846248.181401215, -10834467.5727 3846253.795100003))"
62,Gable,Good,"POLYGON ((-10834418.9681 3846259.746299997, -10834421.8483 3846261.251900002, -10834420.3427 3846264.132100001, -10834417.4625 3846262.626500003, -10834418.9681 3846259.746299997))"
63,Gable,Good,"POLYGON ((-10834840.6132 3846231.834299996, -10834845.1631 3846231.848300003, -10834845.1532 3846235.098300003, -10834840.6032 3846235.084299996, -10834840.6132 3846231.834299996))"
64,Gable,Good,"POLYGON ((-10834707.84977657 3846230.263186611, -10834707.41178217 3846232.25282684, -10834709.43727976 3846232.909025259, -10834704.062 3846247.469600007, -10834690.01682413 3846242.434044361, -10834696.63142073 3846222.801921643, -10834704.72768698 3846225.553593822, -10834703.62780006 3846228.750714786, -10834707.84977657 3846230.263186611))"
65,Gable,Good,"POLYGON ((-10834535.9097 3846235.047300003, -10834521.7879 3846230.140600003, -10834525.4146 3846219.702699997, -10834539.5365 3846224.609399997, -10834535.9097 3846235.047300003))"
66,Gable,Good,"POLYGON ((-10834545.1746 3846239.354999997, -10834546.9413 3846233.778200001, -10834541.3645 3846232.011399999, -10834546.2721 3846216.520199999, -10834559.9044 3846220.8389, -10834553.23 3846241.906999998, -10834545.1746 3846239.354999997))"
67,Gable,Good,"POLYGON ((-10834559.79614262 3846229.664080583, -10834574.63400571 3846235.167424947, -10834573.89345828 3846236.868164614, -10834569.77412929 3846248.80619397, -10834569.56431319 3846248.709049389, -10834561.36036242 3846245.816396303, -10834561.6485475 3846245.04406029, -10834562.02182208 3846244.043684416, -10834555.69477654 3846241.856904902, -10834559.79614262 3846229.664080583))"
68,Gable,Good,"POLYGON ((-10834582.40218795 3846248.687880881, -10834581.33374786 3846251.612096816, -10834573.11529432 3846249.203819424, -10834580.25905865 3846227.891589172, -10834594.50689972 3846232.773161471, -10834588.5645 3846250.578000002, -10834582.40218795 3846248.687880881))"
69,Mix,Good,"POLYGON ((-10834485.0107 3846255.784000002, -10834491.7427 3846258.192800008, -10834487.5821 3846269.820800006, -10834473.42346792 3846264.456616148, -10834478.13306071 3846251.068672635, -10834485.6676 3846253.947999999, -10834485.0107 3846255.784000002))"
70,Mix,Good,"POLYGON ((-10834720.5173 3846256.596400008, -10834717.05786988 3846255.399980865, -10834716.53209608 3846256.619046777, -10834711.76958652 3846254.991856009, -10834712.01432659 3846253.655707501, -10834712.87422415 3846250.679139033, -10834706.92108721 3846248.628614083, -10834713.96563259 3846228.850970238, -10834721.83700255 3846231.331443958, -10834720.64637516 3846234.903326131, -10834724.58206014 3846236.325464405, -10834724.24287856 3846237.437226243, -10834723.98674645 3846238.276770391, -10834726.46722018 3846239.004376017, -10834720.5173 3846256.596400008))"
71,Mix,Good,"POLYGON ((-10834744.19518295 3846241.399621248, -10834740.36007791 3846253.360255525, -10834725.74622914 3846248.198665299, -10834728.54614625 3846240.537780985, -10834730.62339171 3846234.627717935, -10834738.50799086 3846237.405848503, -10834738.11165969 3846238.442406952, -10834737.82007281 3846239.205018789, -10834744.19518295 3846241.399621248))"
72,Gable,Good,"POLYGON ((-10834916.29987287 3846252.707676843, -10834903.7498 3846252.283699997, -10834903.9918 3846245.009099998, -10834902.46213684 3846245.140578367, -10834902.80609586 3846236.885561839, -10834917.0142493 3846237.388271175, -10834916.29987287 3846252.707676843))"
73,Gable,Good,"POLYGON ((-10834604.0076653 3846260.247990869, -10834603.78510587 3846260.135432087, -10834595.96431584 3846257.284651592, -10834596.26385266 3846256.331579879, -10834596.54640034 3846255.432564542, -10834590.1963876 3846253.262976862, -10834594.21806234 3846241.497814372, -10834608.7415116 3846246.584439166, -10834608.33229989 3846247.629970163, -10834604.0076653 3846260.247990869))"
74,Gable,Good,"POLYGON ((-10834628.28984942 3846245.850218944, -10834623.4088063 3846260.522981711, -10834621.14396842 3846259.782146886, -10834620.94311883 3846260.281401582, -10834620.4031336 3846261.623650581, -10834616.91907041 3846260.407857709, -10834616.33912545 3846260.205481075, -10834615.19315356 3846263.421982311, -10834607.40677421 3846260.840482347, -10834613.91 3846241.595000006, -10834628.28984942 3846245.850218944))"
75,Mix,Good,"POLYGON ((-10834749.4356 3846240.681600004, -10834755.9786 3846243.167400002, -10834755.1196 3846246.450000003, -10834759.1144 3846247.683700003, -10834758.6455 3846249.784100004, -10834760.7223 3846250.5814, -10834754.647103 3846268.015035771, -10834745.40535203 3846265.007074304, -10834746.52692145 3846261.67592793, -10834741.581 3846260.258299999, -10834746.98994322 3846242.983077928, -10834748.31537046 3846243.473645128, -10834749.4356 3846240.681600004))"
76,Gable,Good,"POLYGON ((-10834643.02832837 3846258.604550242, -10834639.02125573 3846270.117144063, -10834638.71499204 3846270.039624371, -10834632.6434117 3846268.063423388, -10834632.46995032 3846268.458915323, -10834631.81658712 3846269.948583424, -10834623.97829014 3846266.905868977, -10834624.59233133 3846265.115334794, -10834626.77115339 3846258.310305238, -10834628.20810127 3846253.822342217, -10834628.80694566 3846253.974332616, -10834629.96689054 3846250.467522547, -10834630.22908394 3846249.674844831, -10834637.57128617 3846252.155318551, -10834637.36112298 3846252.834933855, -10834636.35362322 3846256.092936687, -10834643.02832837 3846258.604550242))"
77,Mix,Good,"POLYGON ((-10834868.85484574 3846253.953165904, -10834867.69067674 3846262.63151665, -10834866.25663219 3846262.451599628, -10834865.63485858 3846268.793690443, -10834865.59517253 3846269.198488161, -10834852.23897907 3846267.579234906, -10834852.5080063 3846263.282095872, -10834849.92387026 3846260.137813739, -10834852.84639907 3846257.876989566, -10834853.42960645 3846257.425829127, -10834853.75684201 3846252.814782612, -10834853.79340927 3846252.299516745, -10834868.85484574 3846253.953165904))"
78,Gable,Good,"POLYGON ((-10834771.70211384 3846253.934394732, -10834772.90246308 3846251.371340655, -10834778.61747451 3846253.223427683, -10834777.88213891 3846255.665972553, -10834777.2088931 3846257.902275383, -10834772.04 3846273.188500002, -10834766.2089 3846271.277199998, -10834762.4921 3846273.023800001, -10834760.7793 3846269.308000006, -10834757.1104 3846268.108499996, -10834762.7771 3846251.433700003, -10834771.70211384 3846253.934394732))"
79,Gable,Good,"POLYGON ((-10834915.69347499 3846256.165514566, -10834914.339 3846271.3649, -10834901.82052097 3846270.450229719, -10834902.01895887 3846264.814593434, -10834900.70926875 3846264.655843116, -10834900.74316517 3846264.2418807, -10834901.44679443 3846255.648759946, -10834901.51578065 3846255.019322857, -10834915.69347499 3846256.165514566))"
80,Gable,Good,"POLYGON ((-10834841.9696 3846262.057599999, -10834841.9577 3846265.957500003, -10834838.0577 3846265.945600003, -10834838.0697 3846262.045599997, -10834841.9696 3846262.057599999))"
81,Gable,Good,"POLYGON ((-10834806.0355 3846262.098700002, -10834810.3602 3846263.512699999, -10834811.9762 3846258.570200004, -10834828.6572 3846264.024099998, -10834824.2132 3846277.616099998, -10834803.2075 3846270.748099998, -10834806.0355 3846262.098700002))"
82,Gable,Good,"POLYGON ((-10834659.79633076 3846265.351438783, -10834656.003 3846275.969599999, -10834641.47389816 3846271.039991863, -10834644.97963437 3846260.522783257, -10834659.79633076 3846265.351438783))"
83,Gable,Good,"POLYGON ((-10834666.42084926 3846281.36206986, -10834658.60239608 3846278.504564136, -10834665.78584799 3846257.232021451, -10834680.07337666 3846262.431094378, -10834674.08055213 3846279.97300458, -10834667.84960213 3846277.710812539, -10834666.42084926 3846281.36206986))"
